accuracy,balanced_accuracy,f1,roc_auc,Method,Dataset,Mechanism,Missing_Ratio
1.0,1.0,1.0,1.0,Unlabeled (Sportisse EM),Isolet,MNAR,0.3888888888888889
0.625,0.625,0.6257197696737045,0.6531434911242604,Oracle,Madelon,MCAR,0.3128205128205128
0.6326923076923077,0.6326923076923077,0.6375711574952562,0.6531434911242604,Naive,Madelon,MCAR,0.3128205128205128
0.5480769230769231,0.5480769230769231,0.6685472496473907,0.6531434911242604,Unlabeled (CNe),Madelon,MCAR,0.3128205128205128
0.5,0.5,0.6666666666666666,0.6531434911242604,Unlabeled (Sportisse EM),Madelon,MCAR,0.3128205128205128
0.625,0.625,0.6257197696737045,0.6531434911242604,Oracle,Madelon,MAR1,0.5096153846153846
0.5557692307692308,0.5557692307692308,0.5776965265082267,0.5884467455621301,Naive,Madelon,MAR1,0.5096153846153846
0.5057692307692307,0.5057692307692307,0.6493860845839018,0.517766272189349,Unlabeled (CNe),Madelon,MAR1,0.5096153846153846
0.5057692307692307,0.5057692307692307,0.6493860845839018,0.517766272189349,Unlabeled (Sportisse EM),Madelon,MAR1,0.5096153846153846
0.625,0.625,0.6257197696737045,0.6531434911242604,Oracle,Madelon,MAR2,0.3698717948717949
0.5115384615384615,0.5115384615384615,0.5261194029850746,0.5107988165680473,Naive,Madelon,MAR2,0.3698717948717949
0.5,0.5,0.0,0.6531434911242604,Unlabeled (CNe),Madelon,MAR2,0.3698717948717949
0.5942307692307692,0.5942307692307692,0.5149425287356322,0.6531878698224852,Unlabeled (Sportisse EM),Madelon,MAR2,0.3698717948717949
0.625,0.625,0.6257197696737045,0.6531434911242604,Oracle,Madelon,MNAR,0.717948717948718
0.5173076923076924,0.5173076923076924,0.21316614420062696,0.5242011834319527,Naive,Madelon,MNAR,0.717948717948718
0.5,0.5,0.0,0.5,Unlabeled (CNe),Madelon,MNAR,0.717948717948718
0.5,0.5,0.0,0.5,Unlabeled (Sportisse EM),Madelon,MNAR,0.717948717948718
