Dataset,Scheme,Parameter,Actual_Missing_Rate,Method,accuracy,balanced_accuracy,f1,roc_auc
telescope,MCAR,0.5,0.49412898703119523,Sportisse_EM,0.7810199789695058,0.7519602922617554,0.834228855721393,0.830189531287695
telescope,MCAR,0.7,0.6984752891692955,Naive,0.7823343848580442,0.7350259493233536,0.8419847328244274,0.8277931133975126
telescope,MCAR,0.7,0.6984752891692955,LabelProp_CNe,0.7831230283911672,0.7272584276201179,0.8455345440928665,0.8157785948692956
telescope,MCAR,0.7,0.6984752891692955,Sportisse_EM,0.7754994742376445,0.7424034128724646,0.8314251875246743,0.8241504490972593
telescope,MCAR,0.9,0.9036102348405187,Naive,0.7773396424815984,0.7330538371175339,0.8370840546258896,0.8265017087396059
telescope,MCAR,0.9,0.9036102348405187,LabelProp_CNe,0.7812828601472135,0.7243007139246215,0.8445440956651719,0.8137179846207374
telescope,MCAR,0.9,0.9036102348405187,Sportisse_EM,0.6482649842271293,0.5,0.7866028708133971,0.8221904599109928
telescope,MAR1,default,0.504030844724851,Naive,0.7760252365930599,0.7340912645158005,0.8352030947775628,0.8307387040734558
telescope,MAR1,default,0.504030844724851,LabelProp_CNe,0.7820715036803365,0.7310626311559179,0.8430815824342229,0.8221819737973054
telescope,MAR1,default,0.504030844724851,Sportisse_EM,0.7762881177707676,0.7549771056775738,0.8273483465205924,0.8283062202001026
telescope,MAR2,default,0.5928846827900456,Naive,0.7791798107255521,0.7296869715121164,0.8403648802736602,0.8282743972737754
telescope,MAR2,default,0.5928846827900456,LabelProp_CNe,0.7810199789695058,0.7222176760898897,0.844965568583659,0.8173467074485046
telescope,MAR2,default,0.5928846827900456,Sportisse_EM,0.7781282860147214,0.7582766885244709,0.8282458282458283,0.8261322597187216
telescope,MNAR,default,0.8240448650543287,Naive,0.7450052576235542,0.7592241025025549,0.7833854399285395,0.8338834153455608
telescope,MNAR,default,0.8240448650543287,LabelProp_CNe,0.7121451104100947,0.7475541808051382,0.7388504650608156,0.8270096632588859
telescope,MNAR,default,0.8240448650543287,Sportisse_EM,0.6545741324921136,0.5089686098654709,0.7896253602305475,0.8242898638221214
Madelon,Oracle,0.0,0.0,Oracle,0.6326923076923077,0.6326923076923077,0.6276803118908382,0.6536094674556212
Madelon,MCAR,0.1,0.09615384615384616,Naive,0.6384615384615384,0.6384615384615384,0.637065637065637,0.6536094674556212
Madelon,MCAR,0.1,0.09615384615384616,LabelProp_CNe,0.6442307692307693,0.6442307692307693,0.6435452793834296,0.6580473372781064
Madelon,MCAR,0.1,0.09615384615384616,Sportisse_EM,0.49615384615384617,0.49615384615384617,0.661498708010336,0.6536094674556212
Madelon,MCAR,0.3,0.2980769230769231,Naive,0.6365384615384615,0.6365384615384615,0.6344294003868471,0.6536094674556212
Madelon,MCAR,0.3,0.2980769230769231,LabelProp_CNe,0.6346153846153846,0.6346153846153846,0.6415094339622641,0.6536094674556212
Madelon,MCAR,0.3,0.2980769230769231,Sportisse_EM,0.5,0.5,0.6666666666666666,0.6536094674556212
Madelon,MCAR,0.5,0.4775641025641026,Naive,0.5076923076923077,0.5076923076923077,0.49407114624505927,0.5417011834319527
Madelon,MCAR,0.5,0.4775641025641026,LabelProp_CNe,0.5365384615384615,0.5365384615384615,0.5227722772277228,0.531242603550296
Madelon,MCAR,0.5,0.4775641025641026,Sportisse_EM,0.5230769230769231,0.5230769230769231,0.22981366459627328,0.5713165680473373
Madelon,MCAR,0.7,0.7012820512820512,Naive,0.5384615384615384,0.5384615384615385,0.5588235294117647,0.5618639053254437
Madelon,MCAR,0.7,0.7012820512820512,LabelProp_CNe,0.5192307692307693,0.5192307692307692,0.5674740484429066,0.5283431952662722
Madelon,MCAR,0.7,0.7012820512820512,Sportisse_EM,0.5,0.5,0.6658097686375322,0.5012869822485206
Madelon,MCAR,0.9,0.9121794871794872,Naive,0.5807692307692308,0.5807692307692307,0.6517571884984026,0.6240828402366864
Madelon,MCAR,0.9,0.9121794871794872,LabelProp_CNe,0.5,0.5,0.6640826873385013,0.5357100591715976
Madelon,MCAR,0.9,0.9121794871794872,Sportisse_EM,0.5,0.5,0.6666666666666666,0.571715976331361
Madelon,MAR1,default,0.5198717948717949,Naive,0.4980769230769231,0.4980769230769231,0.0,0.6536094674556212
Madelon,MAR1,default,0.5198717948717949,LabelProp_CNe,0.5019230769230769,0.5019230769230769,0.015209125475285171,0.6536094674556212
Madelon,MAR1,default,0.5198717948717949,Sportisse_EM,0.5038461538461538,0.5038461538461538,0.6683804627249358,0.6536834319526628
Madelon,MAR2,default,0.6,Naive,0.5442307692307692,0.5442307692307693,0.5250501002004008,0.5451627218934911
Madelon,MAR2,default,0.6,LabelProp_CNe,0.5307692307692308,0.5307692307692308,0.4830508474576271,0.5494082840236686
Madelon,MAR2,default,0.6,Sportisse_EM,0.5096153846153846,0.5096153846153846,0.6567967698519516,0.5396005917159763
Madelon,MNAR,default,0.7980769230769231,Naive,0.4980769230769231,0.4980769230769231,0.02973977695167286,0.5617159763313608
Madelon,MNAR,default,0.7980769230769231,LabelProp_CNe,0.5,0.5,0.14473684210526316,0.49034023668639054
Madelon,MNAR,default,0.7980769230769231,Sportisse_EM,0.49423076923076925,0.4942307692307692,0.6115214180206795,0.521257396449704
