Dataset,Scheme,Parameter,Actual_Missing_Rate,Method,accuracy,balanced_accuracy,f1,roc_auc
Madelon,MCAR,0.1,0.8955128205128206,Sportisse_EM,0.49615384615384617,0.49615384615384617,0.5880503144654088,0.4803180473372781
Madelon,MCAR,0.3,0.7038461538461539,Naive,0.5461538461538461,0.5461538461538462,0.5335968379446641,0.5798520710059171
Madelon,MCAR,0.3,0.7038461538461539,LabelProp_CNe,0.551923076923077,0.551923076923077,0.5724770642201835,0.5871893491124259
Madelon,MCAR,0.3,0.7038461538461539,Sportisse_EM,0.5,0.5,0.6666666666666666,0.6536094674556212
Madelon,MCAR,0.5,0.5269230769230769,Naive,0.6365384615384615,0.6365384615384615,0.6480446927374302,0.6536094674556212
Madelon,MCAR,0.5,0.5269230769230769,LabelProp_CNe,0.5711538461538461,0.5711538461538461,0.6239460370994941,0.6253994082840236
Madelon,MCAR,0.5,0.5269230769230769,Sportisse_EM,0.5,0.5,0.6666666666666666,0.636819526627219
Madelon,MCAR,0.7,0.29423076923076924,Naive,0.6346153846153846,0.6346153846153846,0.6374045801526718,0.6536094674556212
Madelon,MCAR,0.7,0.29423076923076924,LabelProp_CNe,0.6038461538461538,0.6038461538461539,0.6411149825783972,0.6536094674556212
Madelon,MCAR,0.7,0.29423076923076924,Sportisse_EM,0.5,0.5,0.6666666666666666,0.6536094674556212
Madelon,MCAR,0.9,0.09358974358974359,Naive,0.6403846153846153,0.6403846153846153,0.6340508806262231,0.6634319526627219
Madelon,MCAR,0.9,0.09358974358974359,LabelProp_CNe,0.6269230769230769,0.6269230769230769,0.6325757575757576,0.6654881656804734
Madelon,MCAR,0.9,0.09358974358974359,Sportisse_EM,0.5980769230769231,0.5980769230769231,0.6759689922480621,0.6623076923076924
Madelon,MAR1,default,0.5102564102564102,Naive,0.5269230769230769,0.5269230769230768,0.5214007782101168,0.5246079881656804
Madelon,MAR1,default,0.5102564102564102,LabelProp_CNe,0.4980769230769231,0.4980769230769231,0.5364120781527532,0.5007248520710059
Madelon,MAR1,default,0.5102564102564102,Sportisse_EM,0.525,0.5249999999999999,0.5166340508806262,0.5273372781065089
Madelon,MAR2,default,0.39294871794871794,Naive,0.6326923076923077,0.6326923076923077,0.5944798301486199,0.6636686390532545
Madelon,MAR2,default,0.39294871794871794,LabelProp_CNe,0.4980769230769231,0.4980769230769231,0.0,0.6536094674556212
Madelon,MAR2,default,0.39294871794871794,Sportisse_EM,0.5076923076923077,0.5076923076923077,0.36318407960199006,0.5174556213017751
Madelon,MNAR,default,0.6666666666666666,Naive,0.5,0.5,0.0,0.6359023668639053
Madelon,MNAR,default,0.6666666666666666,LabelProp_CNe,0.5038461538461538,0.5038461538461538,0.022727272727272728,0.544896449704142
Madelon,MNAR,default,0.6666666666666666,Sportisse_EM,0.5115384615384615,0.5115384615384615,0.23952095808383234,0.5592085798816568
